;logFC;AveExpr;t;P.Value;adj.P.Val;B
CPAR2_404850;6.4626511600625;6.4626511600625;71.4564327529637;3.78886539769334e-10;2.09372701876534e-06;13.5938628697583
CPAR2_304060;2.7191094965625;2.7191094965625;42.2404175689044;9.29298516552482e-09;5.98288196745027e-06;11.1810468321814
CPAR2_211810;3.353903148125;3.353903148125;36.8700559422352;2.12336990107971e-08;7.23843245311027e-06;10.4284856167059
CPAR2_201490;3.531185889125;3.531185889125;36.3011182568096;2.33370295869625e-08;7.23843245311027e-06;10.3397439344459
CPAR2_109780;2.5767097326875;2.5767097326875;33.539756604211;3.77269997601457e-08;9.82853951516085e-06;9.88058423394728
CPAR2_103400;2.302618140375;2.302618140375;33.4524959773159;3.83282126763558e-08;9.82853951516085e-06;9.8652567159261
CPAR2_701390;2.553030953;2.553030953;31.5865906242182;5.4293449612465e-08;1.25010667732701e-05;9.5244174481508
CPAR2_301300;2.4236264485625;2.4236264485625;30.2819518470164;7.01185394706965e-08;1.35162340661768e-05;9.27027012050828
CPAR2_602950;3.9819134825625;3.9819134825625;30.2646965368758;7.03612561079937e-08;1.35162340661768e-05;9.26681576793732
CPAR2_106140;2.2164624310625;2.2164624310625;24.8673863088425;2.3111605812582e-07;2.54519778149944e-05;8.04846800370125
CPAR2_210700;2.53077587425;2.53077587425;24.4887566305772;2.53576747467163e-07;2.62862355633077e-05;7.95123947035835
CPAR2_209460;3.8566488784375;3.8566488784375;24.4365493572823;2.56868751432974e-07;2.62862355633077e-05;7.93769482624756
CPAR2_400570;2.145010776125;2.145010776125;24.3256942951115;2.64025044112081e-07;2.65273162502429e-05;7.9088219462946
CPAR2_405780;2.7555712664375;2.7555712664375;24.1758823113168;2.74067751503026e-07;2.70446141929593e-05;7.86955717280959
CPAR2_405900;2.434007941875;2.434007941875;22.6300139700625;4.08468773140427e-07;3.4199976369303e-05;7.44713821941224
CPAR2_301400;3.7899698169375;3.7899698169375;22.3515949777134;4.40149672882188e-07;3.57686337109849e-05;7.36753679015247
CPAR2_100710;3.071622491875;3.071622491875;22.2470948191442;4.52771418662473e-07;3.62610849207076e-05;7.33736764509064
CPAR2_100830;4.6060913399375;4.6060913399375;21.6022625918014;5.40651723636168e-07;3.99721519354275e-05;7.14757735740399
CPAR2_405010;2.719338199875;2.719338199875;21.5425882304338;5.49743674826727e-07;3.99721519354275e-05;7.12969088773984
CPAR2_401550;2.0578393143125;2.0578393143125;21.0014872840542;6.40829793019488e-07;4.16614757203023e-05;6.96491871838858
CPAR2_109010;3.183143276875;3.183143276875;20.7076811109272;6.97590513956825e-07;4.38055134105161e-05;6.87344906274622
CPAR2_402940;2.8130601236875;2.8130601236875;19.0941400727395;1.13650754395782e-06;5.78579591675817e-05;6.34409045093938
CPAR2_402640;3.775992623625;3.775992623625;19.0809296112012;1.14124458003373e-06;5.78579591675817e-05;6.33955643651457
CPAR2_108280;2.94702078475;2.94702078475;18.0870135668199;1.57358548759501e-06;7.43216530294874e-05;5.98831415577637
CPAR2_406210;3.110792082375;3.110792082375;17.9981131310758;1.62079715170615e-06;7.55719496765866e-05;5.95588912660063
CPAR2_303740;3.0853594015625;3.0853594015625;15.4470324199915;4.04454099064514e-06;0.0001362813019164;4.94539608909173
CPAR2_603610;3.381963484125;3.381963484125;15.0968416100627;4.63703303650454e-06;0.0001517112113583;4.7932317702839
CPAR2_106960;2.022747781625;2.022747781625;14.8220134587451;5.17323524249663e-06;0.0001573350569472;4.67125613711426
CPAR2_203450;2.501707046375;2.501707046375;12.7343523444257;1.27268399021531e-05;0.0002824438445754;3.6625176173236
CPAR2_500850;2.3432935455;2.3432935455;12.5364331706036;1.39593274319306e-05;0.000301637481335;3.55848095510356
CPAR2_804060;2.3466824240625;2.3466824240625;11.8370139379646;1.95716643486032e-05;0.000367555941694;3.17753229161705
CPAR2_108000;2.2690461213125;2.2690461213125;9.1726058985915;8.61295566509062e-05;0.0009135353743817;1.49911311826766
