logFC;AveExpr;t;P.Value;adj.P.Val;B
CPAR2_404850;6.4626511600625;6.4626511600625;71.4564327529637;3.78886539769334e-10;2.09372701876534e-06;13.5938628697583
CPAR2_503990;5.1681921289375;5.1681921289375;61.9399221391419;9.04793047835914e-10;2.49994319117063e-06;13.026488229405
CPAR2_502580;3.5049531624375;3.5049531624375;50.6200486106562;3.09100191023992e-09;4.33358342256689e-06;12.1086338378517
CPAR2_807620;3.61466611425;3.61466611425;50.4976662885437;3.13686820308859e-09;4.33358342256689e-06;12.096844945153
CPAR2_401230;3.32890492025;3.32890492025;45.2709962805046;6.09777156619141e-09;5.98288196745027e-06;11.546901731388
CPAG_00607;3.3965059898125;3.3965059898125;43.7966050264869;7.45796283603902e-09;5.98288196745027e-06;11.3736553652628
CPAR2_400970;3.2168000179375;3.2168000179375;42.7640400173126;8.62233190941103e-09;5.98288196745027e-06;11.2470162717925
CPAR2_304060;2.7191094965625;2.7191094965625;42.2404175689044;9.29298516552482e-09;5.98288196745027e-06;11.1810468321814
CPAR2_808820;2.6460990633125;2.6460990633125;41.9123429397462;9.74410743884408e-09;5.98288196745027e-06;11.1390961887343
CPAR2_207210;3.578342338;3.578342338;38.3131528148779;1.68163834898061e-08;7.23843245311027e-06;10.6453204851175
CPAR2_808490;2.9358553113125;2.9358553113125;37.9438990720861;1.78355243787894e-08;7.23843245311027e-06;10.5909338012422
CPAR2_404240;2.975007778625;2.975007778625;37.1466378110574;2.02913367193627e-08;7.23843245311027e-06;10.4709479650609
CPAR2_101070;2.65295379625;2.65295379625;37.0856427863662;2.04949040156593e-08;7.23843245311027e-06;10.4616213034655
CPAR2_211810;3.353903148125;3.353903148125;36.8700559422352;2.12336990107971e-08;7.23843245311027e-06;10.4284856167059
CPAR2_201490;3.531185889125;3.531185889125;36.3011182568096;2.33370295869625e-08;7.23843245311027e-06;10.3397439344459
CPAR2_808660;2.6204123101875;2.6204123101875;36.2397784915513;2.35779558733233e-08;7.23843245311027e-06;10.3300623724839
CPAR2_800220;2.806938388625;2.806938388625;35.6613445026374;2.59980909482299e-08;7.56133950420624e-06;10.237651470467
CPAR2_109780;2.5767097326875;2.5767097326875;33.539756604211;3.77269997601457e-08;9.82853951516085e-06;9.88058423394728
CPAR2_103400;2.302618140375;2.302618140375;33.4524959773159;3.83282126763558e-08;9.82853951516085e-06;9.8652567159261
CPAR2_407170;2.64360356375;2.64360356375;32.3982006995975;4.65488889192432e-08;1.11838765290321e-05;9.67581257315705
CPAR2_701390;2.553030953;2.553030953;31.5865906242182;5.4293449612465e-08;1.25010667732701e-05;9.5244174481508
CPAR2_200280;2.8784128635625;2.8784128635625;31.1791083900821;5.87419167810731e-08;1.29843132852884e-05;9.4465014534514
CPAR2_301300;2.4236264485625;2.4236264485625;30.2819518470164;7.01185394706965e-08;1.35162340661768e-05;9.27027012050828
CPAR2_602950;3.9819134825625;3.9819134825625;30.2646965368758;7.03612561079937e-08;1.35162340661768e-05;9.26681576793732
CPAR2_400960;2.1173904976875;2.1173904976875;30.18699848351;7.14663505765959e-08;1.35162340661768e-05;9.25123040631179
CPAR2_502810;2.95266817575;2.95266817575;30.1533177026562;7.19516534259265e-08;1.35162340661768e-05;9.24445864715223
CPAR2_704060;3.1956733214375;3.1956733214375;30.0558339303784;7.33780351041086e-08;1.35162340661768e-05;9.22480485884808
CPAR2_703030;2.6740345100625;2.6740345100625;29.1124145808362;8.90250587384317e-08;1.53735148308929e-05;9.03036090590704
CPAR2_209220;2.15385252025;2.15385252025;28.0927160079852;1.10489695206256e-07;1.69048407779475e-05;8.81116477873879
CPAR2_501020;3.1337135150625;3.1337135150625;28.0419025047714;1.11707916933278e-07;1.69048407779475e-05;8.79998561999184
CPAR2_300740;2.88410964475;2.88410964475;27.9087322656269;1.14975420343518e-07;1.69048407779475e-05;8.77056921282546
CPAR2_807980;2.8952896639375;2.8952896639375;27.8366884405615;1.16789382813886e-07;1.69048407779475e-05;8.75458333052651
CPAR2_301610;2.4490551815;2.4490551815;27.2707484778301;1.32257199316431e-07;1.82713320855649e-05;8.6272202156791
CPAR2_209770;2.11297848975;2.11297848975;26.7907124936408;1.47268386755984e-07;1.93763120288945e-05;8.51664231952455
CPAR2_204260;2.84627537125;2.84627537125;26.3197151660253;1.63956526864192e-07;2.05914492602619e-05;8.40579414736929
CPAR2_204880;2.4749116295625;2.4749116295625;25.3607270765915;2.05230882284849e-07;2.46544751196973e-05;8.1725678266962
CPAR2_202130;2.0942577588125;2.0942577588125;25.0839022366554;2.19314228521104e-07;2.54519778149944e-05;8.10328753256657
CPAR2_106140;2.2164624310625;2.2164624310625;24.8673863088425;2.3111605812582e-07;2.54519778149944e-05;8.04846800370125
CPAR2_804310;3.2304956745;3.2304956745;24.842795870322;2.32502558927013e-07;2.54519778149944e-05;8.04220640475298
CPAR2_210700;2.53077587425;2.53077587425;24.4887566305772;2.53576747467163e-07;2.62862355633077e-05;7.95123947035835
CPAR2_213720;2.2011840228125;2.2011840228125;24.4803996928053;2.54100394019786e-07;2.62862355633077e-05;7.94907362333118
CPAR2_209460;3.8566488784375;3.8566488784375;24.4365493572823;2.56868751432974e-07;2.62862355633077e-05;7.93769482624756
CPAR2_400570;2.145010776125;2.145010776125;24.3256942951115;2.64025044112081e-07;2.65273162502429e-05;7.9088219462946
CPAR2_405780;2.7555712664375;2.7555712664375;24.1758823113168;2.74067751503026e-07;2.70446141929593e-05;7.86955717280959
CPAR2_209240;2.949349137;2.949349137;23.3096535209453;3.41649351019458e-07;2.9967528789421e-05;7.63683306077152
CPAR2_403510;3.566590475625;3.566590475625;23.0653302046094;3.64091785853048e-07;3.09534032095991e-05;7.56937966199123
CPAR2_405900;2.434007941875;2.434007941875;22.6300139700625;4.08468773140427e-07;3.4199976369303e-05;7.44713821941224
CPAR2_808670;3.2735796575;3.2735796575;22.5278177951798;4.19779456874292e-07;3.46224071445872e-05;7.41805022417285
CPAR2_301400;3.7899698169375;3.7899698169375;22.3515949777134;4.40149672882188e-07;3.57686337109849e-05;7.36753679015247
CPAR2_100710;3.071622491875;3.071622491875;22.2470948191442;4.52771418662473e-07;3.62610849207076e-05;7.33736764509064
CPAR2_103450;3.6191026450625;3.6191026450625;22.0298826649618;4.80377590704436e-07;3.73882614962354e-05;7.27414020425671
CPAR2_100830;4.6060913399375;4.6060913399375;21.6022625918014;5.40651723636168e-07;3.99721519354275e-05;7.14757735740399
CPAR2_405010;2.719338199875;2.719338199875;21.5425882304338;5.49743674826727e-07;3.99721519354275e-05;7.12969088773984
CPAR2_401550;2.0578393143125;2.0578393143125;21.0014872840542;6.40829793019488e-07;4.16614757203023e-05;6.96491871838858
CPAR2_206020;2.7494983173125;2.7494983173125;20.7816286244664;6.82772555000442e-07;4.33678291831315e-05;6.89660651733812
CPAR2_109010;3.183143276875;3.183143276875;20.7076811109272;6.97590513956825e-07;4.38055134105161e-05;6.87344906274622
CPAR2_402940;2.8130601236875;2.8130601236875;19.0941400727395;1.13650754395782e-06;5.78579591675817e-05;6.34409045093938
CPAR2_402640;3.775992623625;3.775992623625;19.0809296112012;1.14124458003373e-06;5.78579591675817e-05;6.33955643651457
CPAR2_108280;2.94702078475;2.94702078475;18.0870135668199;1.57358548759501e-06;7.43216530294874e-05;5.98831415577637
CPAR2_406210;3.110792082375;3.110792082375;17.9981131310758;1.62079715170615e-06;7.55719496765866e-05;5.95588912660063
CPAR2_206900;2.2780583613125;2.2780583613125;17.8188503220817;1.72109205617263e-06;7.92562891867498e-05;5.88998095920505
CPAR2_802250;2.090672365625;2.090672365625;17.4717562535275;1.93651630400195e-06;8.77146647206129e-05;5.76033068361453
CPAR2_303740;3.0853594015625;3.0853594015625;15.4470324199915;4.04454099064514e-06;0.000136281301916494;4.94539608909173
CPAR2_603610;3.381963484125;3.381963484125;15.0968416100627;4.63703303650454e-06;0.000151711211358332;4.7932317702839
CPAR2_203720;2.7880501861875;2.7880501861875;15.0655865143374;4.69464660555098e-06;0.000151711211358332;4.77947503563634
CPAR2_804740;2.466930585625;2.466930585625;14.9620781609541;4.89146393952751e-06;0.000153255334395335;4.73370682433184
CPAR2_106960;2.022747781625;2.022747781625;14.8220134587451;5.17323524249663e-06;0.000157335056947283;4.67125613711426
CPAG_01628;2.7634672151875;2.7634672151875;14.7376487312689;5.3520326537834e-06;0.000159007163681758;4.63334894007652
CPAR2_105550;3.2070453093125;3.2070453093125;14.147749106452;6.82343398866441e-06;0.000188531481106798;4.36196380882787
CPAR2_602260;2.9676728490625;2.9676728490625;14.0205727476067;7.19930728443168e-06;0.000195977202235318;4.30195662016239
CPAR2_210480;2.510012124875;2.510012124875;13.4707919403525;9.12681785566715e-06;0.000232091727912611;4.03609589721874
CPAR2_502980;2.084433594375;2.084433594375;13.4454126042704;9.22934332636789e-06;0.000232091727912611;4.02356239051843
CPAR2_203450;2.501707046375;2.501707046375;12.7343523444257;1.27268399021531e-05;0.000282443844575495;3.6625176173236
CPAR2_500850;2.3432935455;2.3432935455;12.5364331706036;1.39593274319306e-05;0.000301637481335068;3.55848095510356
CPAR2_302650;2.081857843375;2.081857843375;12.2150032768185;1.62681959588131e-05;0.000323608604113904;3.3860461965794
CPAR2_804060;2.3466824240625;2.3466824240625;11.8370139379646;1.95716643486032e-05;0.000367555941694028;3.17753229161705
CPAR2_502820;2.242209317375;2.242209317375;10.1000834812149;4.94210927375908e-05;0.000666194652969311;2.12947583202968
CPAR2_108000;2.2690461213125;2.2690461213125;9.1726058985915;8.61295566509062e-05;0.000913535374381781;1.49911311826766
