baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CPAR2_701390;810.022634441328;2.26874532212651;0.464501802119064;4.88425515633407;1.03820561442051e-06;1.09181477705604e-05
CPAR2_205290;148.412552654375;2.24534331027286;0.480186273351201;4.67598395639821;2.92547479135621e-06;2.74690684954615e-05
CPAR2_600270;218.271356535176;3.63616068395659;0.402684642147404;9.02979727403054;1.7199011834901e-19;1.7764122223762e-17
CPAR2_205500;250.90380271038;2.81586048816877;0.369206230704362;7.62679568759374;2.40660546287852e-14;1.36468686247935e-12
CPAR2_100710;385.891355558376;3.04189346778088;0.394597456664193;7.70885218951009;1.26954346805366e-14;7.72951517812881e-13
CPAR2_804260;1083.20933030458;2.24201655577684;0.26930410032368;8.32522250155913;8.41704913399682e-17;6.66907016315584e-15
CPAR2_210660;33.4352125356447;2.05181838400822;0.375210339289251;5.46844841188256;4.53992156882666e-08;6.71583282713386e-07
CPAR2_304120;644.980560832599;2.03237615049101;0.204737500038969;9.92674107139228;3.18495031310819e-23;4.97885205703184e-21
CPAR2_106950;1155.03652979734;2.03208251758155;0.345118845515025;5.88806593435674;3.90741239758338e-09;7.31406903159297e-08
CPAR2_104530;229.982863707479;2.02379864775025;0.324837008635657;6.23019728032336;4.65848168392066e-10;1.05665325724695e-08
CPAR2_204090;44.8014752586965;2.4975626745064;0.528673330488201;4.72420780560283;2.31014102313187e-06;2.20947284582324e-05
CPAR2_109500;800.730446010728;2.52725162535432;0.225288354119435;11.2178529388808;3.332633953509e-29;9.63797739354804e-27
CPAR2_602950;78989.0084433708;2.52080009447966;0.6854721230323;3.67746551577981;0.000235562909591705;0.00124088876965248
CPAR2_106140;12368.607180025;2.11629514744053;0.375349088162416;5.63820511141031;1.71831765613284e-08;2.83964266373495e-07
CPAR2_401300;2098.27834037026;3.38579860924879;0.199031029821692;17.0114107950004;6.75903764846417e-65;7.81885475174335e-62
CPAR2_503040;1851.91484464195;2.7636821236695;0.328954157932325;8.40142024968132;4.41110704033668e-17;3.64483473161534e-15
CPAR2_601530;1528.2684445463;2.07577430711817;0.407675002390678;5.09173801421591;3.54796123118027e-07;4.19613236790713e-06
CPAR2_401110;156.595067366718;2.46131146164717;0.489879630057081;5.02431885432831;5.05222399964482e-07;5.72981639489131e-06
CPAR2_804060;77357.7256467079;2.3622936310169;0.327175438671687;7.22026580175967;5.18860562662575e-13;2.04155747921111e-11
CPAR2_503690;1418.04692995961;2.70286065355754;0.302573095551482;8.93291800657687;4.14917182199144e-19;4.06759488447432e-17
CPAR2_403820;165.626636010218;2.02179787214088;0.332205511725224;6.08598533372067;1.15777040690026e-09;2.39496868590766e-08
CPAR2_402940;7717.69774272443;2.95371905682197;0.227467524224835;12.9852341202889;1.4838373908982e-38;6.60193497611938e-36
CPAR2_402150;87.2471362821217;2.40504039186988;0.311174192902741;7.72891983565487;1.08462945155335e-14;6.74569542772535e-13
CPAR2_404850;33479.5803833143;6.23638397391695;0.693835096570618;8.98827978685596;2.51130057453551e-19;2.5483092145813e-17
CPAR2_302890;567.068475303545;2.51292790698444;0.299745524668156;8.38353770174372;5.13602159136159e-17;4.18404913865288e-15
CPAR2_601230;789.89834427315;2.3052100408014;0.625961298884186;3.68267182797176;0.000230802198005776;0.00122249076306356
CPAR2_700290;65.5600623580828;3.32305751378595;0.596552833558563;5.57043287174283;2.54107208352431e-08;4.03779146458918e-07
CPAR2_800020;832.838037981273;2.4018307519633;0.248640748296611;9.65984364356112;4.4654498167662e-22;6.29955164394529e-20
CPAR2_400770;355.30377317082;2.79568158813199;0.375196135219651;7.45125369293935;9.24573759068768e-14;4.53197849360488e-12
CPAR2_201370;3221.06840540352;2.14713768345805;0.348904302417197;6.15394441565425;7.55791827509876e-10;1.6190740482656e-08
CPAR2_500880;464.088522016078;2.30703075926798;0.24061934651869;9.58788556550576;8.99085953978146e-22;1.20937515297898e-19
CPAR2_108000;870.276155737734;2.99922279736868;0.182172048953784;16.4636826263592;6.69033343591605e-61;6.44948143222307e-58
CPAR2_602940;727.339994695545;2.02021849785236;0.185029213293968;10.9183758709642;9.41645548573233e-28;2.47567175133981e-25
CPAR2_802720;870.650298198362;3.5032259356234;0.92520215926078;3.78644375238209;0.00015281866803354;0.000861504070083815
CPAR2_303740;11931.8082761395;2.12563630639591;0.201432253877494;10.5526114387255;4.94045159741878e-26;9.52519067982341e-24
CPAR2_109780;2174.47767981835;2.08128579022932;0.421628185321939;4.93630611682218;7.96161089352874e-07;8.62358752961989e-06
CPAR2_100830;2036.92738716167;4.10463398495943;1.04285937060911;3.93594198857513;8.28709912803961e-05;0.000509921078261501
CPAR2_100100;375.406737257092;3.27207406906453;0.279940997310917;11.6884418520178;1.46041309914801e-31;4.69279409192895e-29
CPAR2_301400;5544.00135562535;3.3204475261765;0.685374370945765;4.84472088093188;1.26789795015562e-06;1.3025793505684e-05
CPAR2_210700;61.6638365521606;3.5532676091783;0.328043606972242;10.8316929019713;2.43609257688558e-27;6.12624324552442e-25
CPAR2_806400;1765.08217958901;2.1436190912155;0.652159655894657;3.28695446251547;0.00101277209547117;0.00418120899372253
CPAR2_405010;9437.13334705871;2.52673315215717;0.243219914446812;10.3886770863482;2.79198662549031e-25;5.04651582557373e-23
CPAR2_201490;1319.67138020526;2.85273573215077;0.277790798586499;10.2693672600624;9.6837696138861e-25;1.60031209847763e-22
CPAR2_804750;268.60340679327;2.62083297471408;0.355712422895099;7.36784212759127;1.73411967960838e-13;7.83605330223037e-12
CPAR2_301390;267.815008995239;2.58003565887335;0.352781567193026;7.31340834897325;2.60449974453377e-13;1.12421093450622e-11
CPAR2_807720;1068.64731829884;2.20630155328411;0.295001175808551;7.4789585066466;7.49139199598059e-14;3.76784446128276e-12
CPAR2_209850;126.915484725415;2.92790256804335;0.481107027630787;6.08576137925445;1.15939009691242e-09;2.39496868590766e-08
CPAR2_805410;56.2064011253826;2.37174894560078;0.376381725224677;6.30144554490523;2.94882386199849e-10;6.84979807943745e-09
NA;NA;NA;NA;NA;NA;NA
